title,description,category,address
Poor road surface affecting commuters,I’ve written before about rains have made things worse by exposing the cracks. We pay taxes — where is the basic infrastructure?,Road & Infrastructure,"101, MG Road, Bangalore, Karnataka 560001"
Severely broken road needs repair,There's an ongoing issue where there’s a stretch where autos refuse to go due to deep pits. We pay taxes — where is the basic infrastructure?,Road & Infrastructure,"101, MG Road, Bangalore, Karnataka 560001"
Severely broken road needs repair,It's high time someone fixed there’s a stretch where autos refuse to go due to deep pits. Hope this gets sorted without more follow-ups.,Road & Infrastructure,"101, MG Road, Bangalore, Karnataka 560001"
Travel becoming unsafe due to road condition,Every day we deal with rains have made things worse by exposing the cracks. Hope this gets sorted without more follow-ups.,Road & Infrastructure,"101, MG Road, Bangalore, Karnataka 560001"
Dangerous potholes damaging vehicles,Can someone explain why vehicles swerve dangerously to avoid broken patches. Authorities need to stop ignoring these basic needs.,Road & Infrastructure,"101, MG Road, Bangalore, Karnataka 560001"
Water scarcity troubling residents,It's really frustrating that water arrives only once in 2 days and that's barely a bucket. We pay taxes — where is the basic infrastructure?,Water Supply,"101, MG Road, Bangalore, Karnataka 560001"
Unreliable water supply for days,It's really frustrating that water arrives only once in 2 days and that's barely a bucket. Please ensure someone investigates and resolves this.,Water Supply,"101, MG Road, Bangalore, Karnataka 560001"
Hardly any water reaching homes,There's an ongoing issue where families here wake up early hoping to fill water but it's dry. Authorities need to stop ignoring these basic needs.,Water Supply,"101, MG Road, Bangalore, Karnataka 560001"
Erratic water timing causing trouble,There's an ongoing issue where families here wake up early hoping to fill water but it's dry. Authorities need to stop ignoring these basic needs.,Water Supply,"101, MG Road, Bangalore, Karnataka 560001"
Low pressure in municipal water line,It's really frustrating that pipes are either clogged or something is stopping regular supply. This should not be the standard of living in our city.,Water Supply,"101, MG Road, Bangalore, Karnataka 560001"
Electricity keeps going without warning,I'm genuinely concerned because we’ve had to spend nights without fans in this heat. This should not be the standard of living in our city.,Electricity,"101, MG Road, Bangalore, Karnataka 560001"
Unstable power supply daily,Can someone explain why electricity disappears at random times during the day. This should not be the standard of living in our city.,Electricity,"101, MG Road, Bangalore, Karnataka 560001"
Unstable power supply daily,I’ve written before about inverters are failing because power cuts last so long. This should not be the standard of living in our city.,Electricity,"101, MG Road, Bangalore, Karnataka 560001"
Blackouts causing major inconvenience,Hard to believe but entire blocks go dark multiple times a week. Hope this gets sorted without more follow-ups.,Electricity,"101, MG Road, Bangalore, Karnataka 560001"
Electricity keeps going without warning,Residents are repeatedly facing entire blocks go dark multiple times a week. This should not be the standard of living in our city.,Electricity,"101, MG Road, Bangalore, Karnataka 560001"
Streets littered with uncollected waste,The community is fed up with people have started burning waste out of desperation. This should not be the standard of living in our city.,Waste Management,"101, MG Road, Bangalore, Karnataka 560001"
Streets littered with uncollected waste,I'm genuinely concerned because no dustbins are visible and littering is everywhere. Hope this gets sorted without more follow-ups.,Waste Management,"101, MG Road, Bangalore, Karnataka 560001"
Solid waste not managed properly,I’ve written before about people have started burning waste out of desperation. We pay taxes — where is the basic infrastructure?,Waste Management,"101, MG Road, Bangalore, Karnataka 560001"
Solid waste not managed properly,Residents are repeatedly facing people have started burning waste out of desperation. Authorities need to stop ignoring these basic needs.,Waste Management,"101, MG Road, Bangalore, Karnataka 560001"
Garbage piling up unchecked,There's an ongoing issue where no dustbins are visible and littering is everywhere. Authorities need to stop ignoring these basic needs.,Waste Management,"101, MG Road, Bangalore, Karnataka 560001"
Need for better bus scheduling,The community is fed up with autorickshaws charge double due to lack of buses. We pay taxes — where is the basic infrastructure?,Public Transport,"101, MG Road, Bangalore, Karnataka 560001"
Infrequent buses affecting routine,It's really frustrating that elderly people struggle as buses don’t stop reliably. Hope this gets sorted without more follow-ups.,Public Transport,"101, MG Road, Bangalore, Karnataka 560001"
Overcrowded transport options,Hard to believe but commuters keep waiting endlessly with no updates. This should not be the standard of living in our city.,Public Transport,"101, MG Road, Bangalore, Karnataka 560001"
Infrequent buses affecting routine,I'm genuinely concerned because commuters keep waiting endlessly with no updates. Hope this gets sorted without more follow-ups.,Public Transport,"101, MG Road, Bangalore, Karnataka 560001"
Infrequent buses affecting routine,Every day we deal with commuters keep waiting endlessly with no updates. This should not be the standard of living in our city.,Public Transport,"101, MG Road, Bangalore, Karnataka 560001"
Doctor unavailable most times,Can someone explain why there’s no ambulance availability nearby. We pay taxes — where is the basic infrastructure?,Healthcare,"101, MG Road, Bangalore, Karnataka 560001"
Primary health center lacks resources,I’ve written before about medicine supplies are missing from the local PHC. Hope this gets sorted without more follow-ups.,Healthcare,"101, MG Road, Bangalore, Karnataka 560001"
Lack of medical support locally,It's high time someone fixed the clinic doesn’t even have proper lighting or fans. This should not be the standard of living in our city.,Healthcare,"101, MG Road, Bangalore, Karnataka 560001"
Lack of medical support locally,The community is fed up with basic check-ups take hours due to shortage of staff. Hope this gets sorted without more follow-ups.,Healthcare,"101, MG Road, Bangalore, Karnataka 560001"
Primary health center lacks resources,It's high time someone fixed medicine supplies are missing from the local PHC. This should not be the standard of living in our city.,Healthcare,"101, MG Road, Bangalore, Karnataka 560001"
School without proper facilities,I'm genuinely concerned because students carry water bottles because school doesn’t have clean water. Hope this gets sorted without more follow-ups.,Education,"101, MG Road, Bangalore, Karnataka 560001"
